dataset,label,obj_id,n_points
NYC,NYC,5615950,695
NYC,NYC,5615957,662
NYC,NYC,5615958,643
NYC,NYC,5615959,642
NYC,NYC,5615960,678
NYC,NYC,5615962,664
NYC,NYC,5615963,723
NYC,NYC,5615964,681
NYC,NYC,5615967,674
NYC,NYC,5615976,662
NYC,NYC,5615977,798
NYC,NYC,5615978,702
NYC,NYC,5615980,646
NYC,NYC,5615985,685
NYC,NYC,5615987,745
NYC,NYC,5616008,644
NYC,NYC,5616010,686
NYC,NYC,5616018,651
NYC,NYC,5616031,689
NYC,NYC,5623152,648
NYC,NYC,5623348,1327
NYC,NYC,5623353,1037
NYC,NYC,5633512,648
NYC,NYC,5633519,995
NYC,NYC,5633521,684
NYC,NYC,5633523,685
NYC,NYC,5633789,650
NYC,NYC,5633790,855
NYC,NYC,5633792,665
NYC,NYC,5633794,2083
NYC,NYC,5640699,1140
NYC,NYC,5642995,1237
NYC,NYC,5682830,787
NYC,NYC,5692185,968
NYC,NYC,5692187,1083
NYC,NYC,5692188,837
NYC,NYC,5705282,668
NYC,NYC,5705284,675
NYC,NYC,5705285,677
NYC,NYC,5705331,1071
NYC,NYC,5705336,676
NYC,NYC,5705341,1143
NYC,NYC,5705348,663
NYC,NYC,5705378,659
NYC,NYC,5705383,668
NYC,NYC,5705542,661
NYC,NYC,5705544,668
NYC,NYC,5705554,687
NYC,NYC,5705555,661
NYC,NYC,5705565,664
NYC,NYC,5705697,713
NYC,NYC,5705699,691
NYC,NYC,5705726,687
NYC,NYC,5705728,690
NYC,NYC,5705733,650
NYC,NYC,5705756,709
NYC,NYC,5705890,693
NYC,NYC,5705893,688
NYC,NYC,5705900,658
NYC,NYC,5705908,645
NYC,NYC,5705911,685
NYC,NYC,5705914,642
NYC,NYC,5705916,936
NYC,NYC,5705918,643
NYC,NYC,5706144,646
NYC,NYC,5706152,644
NYC,NYC,5706159,674
NYC,NYC,5706181,720
NYC,NYC,5706230,928
NYC,NYC,5706288,715
NYC,NYC,5706370,649
NYC,NYC,5706374,731
NYC,NYC,5706381,997
NYC,NYC,5706498,670
NYC,NYC,5706500,681
NYC,NYC,5706504,655
NYC,NYC,5706511,701
NYC,NYC,5706581,683
NYC,NYC,5715344,1209
NYC,NYC,5746160,643
NYC,NYC,5750273,666
NYC,NYC,5758749,1283
NYC,NYC,5771584,708
NYC,NYC,5771606,672
NYC,NYC,5771608,693
NYC,NYC,5771617,1346
NYC,NYC,5771618,789
NYC,NYC,5771619,869
NYC,NYC,5771620,689
NYC,NYC,5771623,663
NYC,NYC,5771627,781
