dataset,obj_id,lat,lon
NYC,5615986,40.75678788469387,-73.99732140714286
NYC,5615986,40.75785356538462,-73.99512687461541
NYC,5615986,40.75715003437503,-73.99364459895834
NYC,5615986,40.75606028333332,-73.99093290000002
NYC,5615988,40.73957120333333,-73.98704776666665
NYC,5615988,40.739757401724134,-73.98559921206893
NYC,5615988,40.73846382545453,-73.9823552981818
NYC,5615988,40.738106978571444,-73.98174736714286
NYC,5615988,40.73557436666667,-73.9755583375
NYC,5616015,40.7191691969697,-73.97609953939393
NYC,5633515,40.755707887804874,-73.97513845609755
NYC,5633515,40.75633410869565,-73.97451146086956
NYC,5633515,40.75950293500001,-73.97203674699999
NYC,5633515,40.76548896285715,-73.9680829657143
NYC,5633515,40.76512925749999,-73.96842689500002
NYC,5692189,40.803936294964025,-73.9659705820144
NYC,5692189,40.8092519923913,-73.95890891693371
NYC,5692189,40.80871748333335,-73.95772906944441
NYC,5692189,40.81117194878049,-73.95785068780488
NYC,5692189,40.82386166944445,-73.94855770555553
NYC,5705278,40.78815798857143,-73.9543325542857
NYC,5705278,40.792189178125,-73.96392207604167
NYC,5705278,40.789401125,-73.9664815475
NYC,5705278,40.78740708478261,-73.96788836521736
NYC,5705278,40.78553776699999,-73.96927316799997
NYC,5705278,40.78368387560975,-73.97065286585365
NYC,5705278,40.78248028833333,-73.97157762083334
NYC,5705752,40.720515540625,-74.006892521875
NYC,5705752,40.715666572500005,-74.00177355499999
NYC,5705752,40.71799773320612,-74.00319325458013
NYC,5705752,40.718761724444434,-74.00474836222224
NYC,5706077,40.7138362245614,-74.0055107701754
NYC,5706077,40.71466361929825,-74.00727411578947
NYC,5706077,40.71619300188679,-74.01081301509431
NYC,5706077,40.72498266811594,-74.01108797101446
NYC,5706077,40.737020834210526,-74.00983071842106
NYC,5706137,40.76497118070174,-73.98871372894737
NYC,5706137,40.76380072749999,-73.98580299999999
NYC,5706137,40.76347708131869,-73.98514571758243
NYC,5706137,40.76325316097561,-73.98460296341464
NYC,5706137,40.76315161602565,-73.98435079615386
NYC,5706137,40.76297566792453,-73.98381313207547
NYC,5706137,40.762990123312896,-73.98331106932514
NYC,5715345,40.80920456487604,-73.95892882231405
NYC,5715345,40.811697651428574,-73.95749216000002
NYC,5715345,40.823254717647075,-73.94900373529411
NYC,5771585,40.769695941549244,-73.96050103802817
NYC,5771585,40.77122575785714,-73.96379407285713
NYC,5771585,40.77677316951219,-73.96163458780488
NYC,5771585,40.77799318647059,-73.96170810882352
NYC,5771585,40.775209921052635,-73.96503723245614
NYC,5771621,40.75981192033897,-73.97648508474578
NYC,5771621,40.759244441666674,-73.97614166944446
NYC,5771621,40.75851075735293,-73.97401444338234
NYC,5771621,40.75569133827162,-73.97547290246912
NYC,5771621,40.7548129423077,-73.97764637211539
NYC,5772092,40.73728922777778,-73.98158854374998
NYC,5772092,40.73636145526316,-73.97938521842104
NYC,5772092,40.736515803030294,-73.97881884242425
NYC,5772092,40.73641254719102,-73.97762104662921
NYC,5772092,40.73636243812616,-73.97773445185527
NYC,5772092,40.73678427413794,-73.97829235344828
NYC,5772092,40.73928023272728,-73.97675959454547
NYC,5772102,40.76806923404255,-73.95865417765955
NYC,5772102,40.76484697666665,-73.961282288
NYC,5772102,40.76417624821429,-73.96182965357146
NYC,5772102,40.76326739393939,-73.96244650454544
NYC,5772192,40.74749244871794,-73.97622995384617
NYC,5772192,40.75042677615386,-73.97448080076926
NYC,5772192,40.75118282083333,-73.97476970277778
NYC,5772192,40.751490162195125,-73.97513230121952
NYC,5772192,40.75166701488216,-73.97552991804714
NYC,5772192,40.75281339433963,-73.97826432830189
NYC,5874746,40.736170777333335,-74.00817892200001
NYC,5874746,40.73642361983471,-74.00687455247933
NYC,5874746,40.737064686111104,-74.00221523333332
NYC,5874746,40.7358836642857,-74.00184494523808
NYC,5874746,40.73518928936169,-74.00193033404256
NYC,5874746,40.726532886363636,-74.00563132727272
NYC,5874767,40.75354605517242,-73.9855932362069
NYC,5874767,40.75365910444444,-73.98505168
NYC,5874767,40.753933455999984,-73.98490984133335
NYC,5874767,40.75565354166666,-73.98835305925925
NYC,5874767,40.7561854233431,-73.99043305270912
NYC,5874767,40.756123389720415,-73.99045426164678
NYC,5874767,40.756345141772194,-73.9907602227848
NYC,5874769,40.75647627763889,-73.99071560444445
NYC,5874769,40.75760213866666,-73.992298532
NYC,5874769,40.75539103829787,-73.99479774893616
NYC,5874769,40.75387668965518,-73.99379364655172
NYC,5874769,40.753349190909084,-73.99267058636364
NYC,5874769,40.753207850793636,-73.99201052698412
NYC,5874787,40.76117995185185,-73.98290862037034
NYC,5874787,40.7603358460145,-73.98302170471008
NYC,5874787,40.76012666496813,-73.98469038067944
NYC,5874787,40.75998915263156,-73.98506749649124
NYC,5874787,40.759887458461534,-73.98536891153847
NYC,5875173,40.75711778571431,-73.99339616857144
NYC,5875173,40.75669867862798,-73.9929788708443
