trajectory,gamma_mps,k,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_retention_ratio,e_match_rate,v_match_rate,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
5351422,2.0,3,654,4,3,487,116,16.14364640883978,0.23819301848049282,0.0,0.9285714285714286,15.049486652977414,nan,nan
5477477,2.0,3,678,2,2,586,148,14.711297071129707,0.2525597269624573,0.0,0.21153846153846154,9.576621160409555,nan,nan
5499001,2.0,3,670,2,1,632,202,11.962145110410095,0.31962025316455694,0.0,0.26229508196721313,9.021044303797469,nan,nan
5503058,2.0,3,916,6,5,414,88,16.450331125827816,0.21256038647342995,0.0,0.6,9.617149758454106,nan,nan
5503168,2.0,3,695,6,5,336,50,20.571428571428573,0.1488095238095238,0.05128205128205128,0.8,17.604464285714286,nan,nan
5503359,2.0,3,716,6,6,319,42,21.50561797752809,0.13166144200626959,0.09375,1.0,11.539811912225705,nan,nan
5540718,2.0,3,663,6,6,333,56,18.5,0.16816816816816818,0.018867924528301886,0.7272727272727273,10.71891891891892,nan,nan
5540722,2.0,3,691,5,5,426,47,28.4,0.11032863849765258,0.0,1.0,8.655633802816903,nan,nan
5540733,2.0,3,641,4,3,490,90,20.704225352112676,0.1836734693877551,0.011494252873563218,0.9090909090909091,9.563061224489795,nan,nan
5540847,2.0,3,869,6,6,375,53,21.634615384615383,0.14133333333333334,0.044444444444444446,0.7272727272727273,10.281866666666666,nan,nan
