trajectory,strategy,capacity,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point,eviction_hit_rate
7852445,squish_dp,200,15.0,307,1,0,307,4,76.75,80.00151795372068,183.54208876353988,7.380456026058632,7.299022801302932,7.615635179153094,1.0
7852451,squish_dp,200,15.0,314,2,1,261,6,43.5,38.69448895784285,99.62232083903712,1.1831417624521072,1.1781609195402298,1.1896551724137931,0.0
8354596,squish_dp,200,15.0,385,1,0,385,9,42.77777777777778,32.59294350630591,75.75652534545962,8.604155844155844,8.432987012987013,10.128571428571428,1.0
10752853,squish_dp,200,20.0,615,2,1,565,17,33.23529411764706,29.87879580840161,119.07087162465876,6.093274336283185,6.064424778761062,6.312389380530973,0.5
10752864,squish_dp,200,20.0,232,2,1,187,5,37.4,24.718975849772146,65.35958363924762,1.3326203208556149,1.3315508021390374,1.5385026737967913,0.0
10752951,squish_dp,200,20.0,610,1,0,610,22,27.727272727272727,29.763764317134957,184.89187764078653,12.262295081967213,12.223278688524589,12.424918032786884,1.0
10892045,squish_dp,200,20.0,323,2,1,282,6,47.0,35.698758835588805,127.50341316955807,5.672340425531915,5.344326241134752,5.892198581560283,0.5
10934834,squish_dp,200,20.0,242,1,0,242,5,48.4,29.86830617593039,85.11943519007242,7.4152892561983474,6.736776859504132,7.533057851239669,1.0
10934933,squish_dp,200,20.0,423,1,0,423,4,105.75,45.29280506272862,111.57503776295611,8.930260047281324,8.85531914893617,9.472813238770685,1.0
10935081,squish_dp,200,20.0,278,1,0,278,3,92.66666666666667,46.365458221523895,129.3106876026895,7.0215827338129495,6.727338129496403,7.681294964028777,1.0
10935136,squish_dp,200,20.0,308,1,1,261,2,130.5,62.44445892539247,149.08243554489846,6.073946360153257,5.767049808429119,7.701915708812261,1.0
10935148,squish_dp,200,20.0,237,2,3,66,4,16.5,20.54641712988889,52.437392740925276,0.6530303030303031,0.6484848484848484,0.6530303030303031,0.0
10935358,squish_dp,200,20.0,636,4,3,506,16,31.625,27.245086379161577,103.60472449867373,3.9814229249011857,3.954940711462451,4.671146245059289,0.25
10935638,squish_dp,200,20.0,228,1,0,228,3,76.0,58.87168411005367,112.67885165823557,5.391228070175439,5.0206140350877195,5.713157894736842,1.0
10935844,squish_dp,200,20.0,607,1,0,607,18,33.72222222222222,39.89459630338855,210.77945204450305,11.101976935749587,10.95189456342669,11.194398682042834,1.0
10969051,squish_dp,200,20.0,601,1,0,601,29,20.724137931034484,13.750817352554005,79.92763086022647,11.309317803660566,10.697004991680531,13.184193011647254,1.0
11058912,squish_dp,200,20.0,601,1,0,601,24,25.041666666666668,24.684945337306885,106.59162544102196,12.394675540765391,12.160399334442594,13.405990016638935,1.0
11071635,squish_dp,200,20.0,423,2,1,377,11,34.27272727272727,30.814719813802473,163.25993620388934,9.070557029177719,8.86339522546419,9.426525198938993,0.5
11071677,squish_dp,200,20.0,459,2,1,406,5,81.2,85.93655152802178,290.7070638981604,5.951477832512316,5.91256157635468,7.090147783251231,0.5
