trajectory,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
6193396,2.5,658,5,5,408,38,10.736842105263158,2.089124815659295,10.124476505439628,2.7340686274509802,2.729901960784314,2.7816176470588236
6193436,2.5,666,5,5,462,23,20.08695652173913,2.656760073125674,26.496865141308326,2.627056277056277,2.6151515151515152,2.672294372294372
4216956,5.0,910,6,5,545,27,20.185185185185187,20.39909528570639,93.31728677634308,3.6981651376146787,3.070275229357798,4.314862385321101
4272243,5.0,646,3,2,564,61,9.245901639344263,9.82479000339986,79.60487808133256,7.020744680851063,6.800531914893617,8.312588652482269
4344977,5.0,1187,6,5,508,29,17.517241379310345,19.046025338177373,137.85039372212617,4.390354330708662,4.362992125984253,4.59744094488189
4350946,5.0,690,5,5,432,32,13.5,6.657296450935844,41.54015254390124,5.5099537037037045,5.274768518518518,5.724537037037037
4351935,5.0,775,2,1,719,33,21.78787878787879,6.019719689849145,38.34876465616537,4.87941585535466,3.978998609179416,5.03769123783032
4352377,5.0,716,4,3,586,25,23.44,12.196853187715302,71.32102500666555,4.261433447098976,3.752730375426621,4.956484641638225
4358853,5.0,666,2,1,614,36,17.055555555555557,9.622058109348245,60.55074588775185,9.662377850162866,9.402605863192182,9.812377850162866
4359232,5.0,681,4,3,575,45,12.777777777777779,7.673647525620708,36.34629879620176,6.941739130434782,6.788521739130435,6.949391304347826
4370045,5.0,720,3,2,620,32,19.375,33.15330210038393,182.50508759165277,7.052096774193549,7.02983870967742,7.054838709677419
4389353,5.0,650,5,4,492,41,12.0,18.097253549591212,110.44889352066262,6.492479674796749,5.957723577235772,6.746951219512195
4389414,5.0,645,3,4,469,23,20.391304347826086,17.30711444836003,109.85397455854302,4.5944562899786785,3.0921108742004266,4.71727078891258
4392729,5.0,652,3,2,586,21,27.904761904761905,24.50539516643829,156.2212453063017,2.5488054607508532,2.548122866894198,2.622013651877133
4393045,5.0,936,6,5,503,31,16.225806451612904,11.847528880976238,73.60864461102814,2.5099403578528827,2.4640159045725647,4.940159045725646
4440451,5.0,657,1,0,657,49,13.408163265306122,27.819329077785707,161.67819185104506,8.63455098934551,8.287823439878235,9.455555555555556
4443744,5.0,710,2,1,659,29,22.724137931034484,38.590709852831004,189.95806991262518,3.924582701062216,3.830349013657056,4.325948406676783
4448887,5.0,666,5,5,427,18,23.72222222222222,36.21626062778201,185.3895392247151,1.51615925058548,1.478688524590164,1.5238875878220142
4469551,5.0,670,5,4,530,31,17.096774193548388,27.307575760151522,151.48645719978686,3.0581132075471698,3.0092452830188683,3.078679245283019
4472905,5.0,816,5,4,460,25,18.4,12.791636531632122,61.03493291447035,2.3491304347826083,2.3078260869565215,2.8354347826086954
4473229,5.0,673,3,3,499,19,26.263157894736842,22.443994916867737,126.7825436904558,5.102004008016032,4.963527054108217,5.109819639278557
4481970,5.0,642,3,2,569,29,19.620689655172413,15.742801459143923,136.25143291939122,3.306678383128295,3.190333919156415,3.459578207381371
4482888,5.0,647,1,1,615,74,8.31081081081081,3.068336368220847,20.777123037464573,11.357235772357724,9.633333333333333,11.397398373983739
4487550,5.0,653,4,3,471,21,22.428571428571427,20.246073139566757,90.75959473360109,4.430573248407644,4.360084925690021,4.509341825902336
4487946,5.0,710,2,1,280,24,11.666666666666666,9.155554585995883,45.65933703738371,7.250357142857142,7.2003571428571425,7.2821428571428575
4504164,5.0,649,3,2,577,24,24.041666666666668,16.25571506783035,80.64083550286294,5.155979202772963,4.962218370883882,5.8097053726169845
4527487,5.0,671,4,3,553,14,39.5,6.746555857986137,26.555008414260133,3.4439421338155514,3.3828209764918626,3.4455696202531647
4544584,5.0,672,4,3,530,41,12.926829268292684,22.3269877193347,158.29114138654148,6.843584905660377,6.23566037735849,7.032452830188679
4547202,5.0,696,7,7,322,21,15.333333333333334,6.793637373744268,34.41937133463979,3.0953416149068325,3.068944099378882,3.0975155279503106
4559519,5.0,991,4,3,563,24,23.458333333333332,27.491724660525577,125.79651937483169,2.67797513321492,2.617229129662522,2.7598579040852576
4575701,5.0,700,3,2,625,53,11.79245283018868,10.632741148975656,81.24591230680369,8.91584,8.872639999999999,8.948319999999999
4579744,5.0,678,5,4,521,17,30.647058823529413,35.356371038792915,157.97818010250637,3.1523992322456817,2.022456813819578,3.174856046065259
4605892,5.0,678,6,6,459,15,30.6,4.900109469813402,12.931846006928058,2.1248366013071895,2.1198257080610023,2.151851851851852
4668185,5.0,641,6,6,398,28,14.214285714285714,15.963374593806595,140.17351864157575,5.11608040201005,4.587185929648241,5.383165829145729
4705097,5.0,659,4,4,439,26,16.884615384615383,18.424778768610903,80.1807226255203,6.7505694760820045,6.681776765375854,6.785193621867881
4724133,5.0,650,4,3,530,40,13.25,12.519515599838044,69.49232241255191,7.830754716981132,7.459811320754716,7.873396226415093
4749525,5.0,805,4,3,483,30,16.1,16.000496027412648,110.04377901849853,6.302070393374741,6.266252587991718,6.595445134575569
4754626,5.0,1144,5,4,496,22,22.545454545454547,29.122716445033962,135.41394900589432,4.435685483870968,4.015524193548387,4.507862903225806
4754956,5.0,647,5,5,464,32,14.5,11.729930960968758,79.84102306012257,3.1620689655172414,2.5808189655172415,3.2926724137931034
4775763,5.0,718,9,8,353,43,8.209302325581396,4.837476027523162,21.283824529502333,2.260056657223796,2.2521246458923514,2.2923512747875354
4785421,5.0,773,4,5,438,28,15.642857142857142,11.853234882103733,65.43550013037633,6.109589041095891,5.896575342465753,6.446803652968036
4789937,5.0,678,5,6,455,33,13.787878787878787,5.7695396482081645,31.154411181635414,5.514285714285714,5.493186813186814,5.5758241758241756
4792515,5.0,705,6,7,406,25,16.24,5.743382337042085,25.357952794117498,4.1935960591133,4.126354679802955,4.2096059113300495
4811115,5.0,643,5,4,440,17,25.88235294117647,77.97740232463026,310.0386724424174,3.247954545454545,3.241590909090909,3.313181818181818
4824328,5.0,688,3,2,512,28,18.285714285714285,7.763476832123927,61.66935873828307,6.019921875,5.63671875,6.8255859375
4861227,5.0,710,9,8,291,20,14.55,25.09602834079577,139.0830581309527,2.1013745704467355,2.050171821305842,2.115807560137457
4861687,5.0,746,6,6,520,24,21.666666666666668,35.045001924626604,197.2613393857866,3.9963461538461535,3.7836538461538463,4.002115384615385
4862222,5.0,670,4,3,506,54,9.37037037037037,11.952711503025792,145.02165741336287,7.723320158102767,7.13596837944664,8.211660079051384
4862380,5.0,660,3,2,585,27,21.666666666666668,22.63212512325246,129.63437424861814,5.454188034188034,4.662222222222223,5.476923076923077
4865550,5.0,642,4,3,521,31,16.806451612903224,18.476179666120334,143.50126952941216,5.633589251439539,4.669097888675624,5.68426103646833
4865558,5.0,649,5,4,494,39,12.666666666666666,20.399186093878594,171.91247616025066,5.542105263157895,5.270647773279352,6.036032388663968
4912927,5.0,674,2,1,637,63,10.11111111111111,9.652263057936999,119.3391286800846,9.556357927786499,9.13453689167975,10.052276295133439
4915833,5.0,675,4,3,527,30,17.566666666666666,22.269236734560945,143.54369808044004,3.9098671726755216,3.6979127134724856,4.963946869070209
4940890,5.0,683,3,2,589,43,13.69767441860465,11.591129224725401,115.36249656929085,5.527164685908319,3.9752122241086587,5.697283531409168
5244934,5.0,656,6,6,405,19,21.31578947368421,7.174658499553728,39.49536132749356,1.8580246913580247,1.8328395061728393,3.1017283950617287
5351422,5.0,654,4,4,502,25,20.08,15.685403689015379,88.47932747532735,4.595019920318725,4.225099601593626,4.932470119521912
5477477,5.0,678,2,1,645,42,15.357142857142858,28.398830260456897,243.18547013814825,7.584651162790698,7.337674418604651,7.828527131782945
5499001,5.0,670,4,3,557,59,9.440677966101696,17.965872964523488,195.37414296015018,8.015978456014363,7.7473967684021545,8.030700179533214
5503058,5.0,916,5,5,724,27,26.814814814814813,11.066848614333368,36.94368727182045,6.012430939226519,5.625276243093922,6.07707182320442
5503168,5.0,695,6,5,467,33,14.151515151515152,2.614013178362377,21.925793402410992,5.267023554603854,4.29100642398287,5.321413276231263
5503359,5.0,716,4,5,520,25,20.8,6.761364050461995,29.69092616705479,5.277500000000001,4.707884615384615,5.3088461538461535
5540718,5.0,663,5,6,354,13,27.23076923076923,45.35645553222739,171.69478340234357,3.0531073446327683,2.9813559322033902,3.0615819209039548
5540722,5.0,691,5,4,502,16,31.375,49.91338796777872,158.5600761037534,2.718924302788845,2.685258964143426,2.756573705179283
5540733,5.0,641,8,7,363,30,12.1,8.247133012670464,62.0970300611909,3.0699724517906337,3.0661157024793386,3.4134986225895316
5540847,5.0,869,6,6,593,28,21.178571428571427,13.673051848845644,93.54647989865454,4.723608768971332,4.223946037099495,4.8477234401349065
5547018,5.0,649,4,3,478,22,21.727272727272727,23.248256917683285,137.4758843961234,4.96276150627615,4.065271966527197,5.117154811715481
5565253,5.0,670,4,4,485,22,22.045454545454547,10.993405385521315,48.20894704255659,4.82020618556701,4.442886597938145,5.309072164948454
5615881,5.0,1051,5,4,637,27,23.59259259259259,36.33590464256357,177.46114291390518,4.147723704866562,4.047566718995291,4.36138147566719
5615968,5.0,642,4,3,481,22,21.863636363636363,26.496162140575088,169.10611907745945,5.352182952182952,4.357172557172557,5.372557172557173
5615986,5.0,685,6,5,485,29,16.724137931034484,13.711691980578957,65.22281960577482,5.168659793814434,5.035670103092784,5.602886597938144
5615988,5.0,671,5,4,505,27,18.703703703703702,16.29664188610276,91.41158574994569,5.1178217821782175,4.976237623762376,5.518811881188118
5616015,5.0,657,2,1,621,31,20.032258064516128,27.037791860391927,164.7084787312849,5.836070853462157,5.038486312399356,6.206119162640902
5633515,5.0,663,6,7,370,25,14.8,5.854207446592092,33.8490037363425,2.1313513513513516,2.1021621621621622,2.2608108108108107
5692189,5.0,1527,6,5,533,25,21.32,20.64442002676741,131.69046144318256,4.288930581613508,4.057410881801125,4.6482176360225145
