trajectory,strategy,n_stops,n_stop_points,avg_sed_m,max_sed_m,p95_sed_m,latency_us_per_stop,latency_us_per_point,latency_p25_us_per_point,latency_p75_us_per_point
5286334,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
5286334,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
5286334,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
5286334,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
5395622,centroid,1,33,1.4397530234194957,10.557055949093831,7.691288088956512,5.0,0.15151515151515152,0.1484848484848485,0.1575757575757576
5395622,medoid,1,33,1.412697329487105,10.4911431591136,7.816168197063804,265.8,8.054545454545455,8.012121212121212,8.096969696969696
5395622,snap_to_nearest,1,33,1.4311167984304736,10.49744663085849,7.751640352346324,12.2,0.3696969696969697,0.3575757575757576,0.5212121212121212
5395622,first_point,1,33,10.558440175739495,20.88392133993358,14.826322274428811,2.1,0.06363636363636364,0.06060606060606061,0.06363636363636364
5538668,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
5538668,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
5538668,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
5538668,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
5670672,centroid,2,119,8.282393439065583,16.991418279184494,15.146292053505329,6.65,0.11176470588235295,0.1092436974789916,0.11176470588235295
5670672,medoid,2,119,8.246560064161518,19.896173723842086,17.14319837250823,1098.1,18.455462184873948,18.100840336134453,20.620168067226892
5670672,snap_to_nearest,2,119,8.326961852647218,16.60416644947832,14.616254932035195,18.8,0.31596638655462184,0.31092436974789917,0.31680672268907567
5670672,first_point,2,119,14.540145168494465,32.84796164296957,26.135189323097904,4.05,0.0680672268907563,0.05798319327731093,0.2890756302521008
5729758,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
5729758,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
5729758,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
5729758,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
5763820,centroid,5,642,1.37110405511364,14.824281308150974,3.2100523821766638,9.5,0.07398753894080996,0.07289719626168224,0.07492211838006231
5763820,medoid,5,642,1.353286522998477,14.819863122269346,3.3101175777148764,10345.68,80.57383177570094,79.10109034267913,80.87242990654205
5763820,snap_to_nearest,5,642,1.3576965602660966,14.902577011282522,3.210801387487624,35.760000000000005,0.27850467289719627,0.2778816199376947,0.2945482866043614
5763820,first_point,5,642,12.398034739777062,29.559619362217784,16.408160317363638,1.8,0.014018691588785047,0.013551401869158878,0.014018691588785047
5917923,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
5917923,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
5917923,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
